[LOGGING ENABLED] Output is being saved to results\pso_log_20251118_003721.txt

[PSO ALGORITHM] Algorithm is currently running
Starting PSO loop for 1000 iterations...
Iteration 10/1000, Best Fitness: 12.00
Iteration 20/1000, Best Fitness: 12.00
Iteration 30/1000, Best Fitness: 12.00
Iteration 40/1000, Best Fitness: 12.00
Iteration 50/1000, Best Fitness: 12.00
Iteration 60/1000, Best Fitness: 12.00
Iteration 70/1000, Best Fitness: 12.00
Iteration 80/1000, Best Fitness: 12.00
Iteration 90/1000, Best Fitness: 12.00
Iteration 100/1000, Best Fitness: 12.00
Iteration 110/1000, Best Fitness: 12.00
Iteration 120/1000, Best Fitness: 12.00
Iteration 130/1000, Best Fitness: 12.00
Iteration 140/1000, Best Fitness: 12.00
Iteration 150/1000, Best Fitness: 12.00
Iteration 160/1000, Best Fitness: 12.00
Iteration 170/1000, Best Fitness: 12.00
Iteration 180/1000, Best Fitness: 12.00
Iteration 190/1000, Best Fitness: 12.00
Iteration 200/1000, Best Fitness: 12.00
Iteration 210/1000, Best Fitness: 12.00
Iteration 220/1000, Best Fitness: 12.00
Iteration 230/1000, Best Fitness: 12.00
Iteration 240/1000, Best Fitness: 12.00
Iteration 250/1000, Best Fitness: 12.00
Iteration 260/1000, Best Fitness: 12.00
Iteration 270/1000, Best Fitness: 12.00
Iteration 280/1000, Best Fitness: 12.00
Iteration 290/1000, Best Fitness: 12.00
Iteration 300/1000, Best Fitness: 12.00
Iteration 310/1000, Best Fitness: 12.00
Iteration 320/1000, Best Fitness: 12.00
Iteration 330/1000, Best Fitness: 12.00
Iteration 340/1000, Best Fitness: 12.00
Iteration 350/1000, Best Fitness: 12.00
Iteration 360/1000, Best Fitness: 12.00
Iteration 370/1000, Best Fitness: 12.00
Iteration 380/1000, Best Fitness: 12.00
Iteration 390/1000, Best Fitness: 12.00
Iteration 400/1000, Best Fitness: 12.00
Iteration 410/1000, Best Fitness: 12.00
Iteration 420/1000, Best Fitness: 12.00
Iteration 430/1000, Best Fitness: 12.00
Iteration 440/1000, Best Fitness: 12.00
Iteration 450/1000, Best Fitness: 12.00
Iteration 460/1000, Best Fitness: 12.00
Iteration 470/1000, Best Fitness: 12.00
Iteration 480/1000, Best Fitness: 12.00
Iteration 490/1000, Best Fitness: 12.00
Iteration 500/1000, Best Fitness: 12.00
Iteration 510/1000, Best Fitness: 12.00
Iteration 520/1000, Best Fitness: 12.00
Iteration 530/1000, Best Fitness: 12.00
Iteration 540/1000, Best Fitness: 12.00
Iteration 550/1000, Best Fitness: 12.00
Iteration 560/1000, Best Fitness: 12.00
Iteration 570/1000, Best Fitness: 12.00
Iteration 580/1000, Best Fitness: 12.00
Iteration 590/1000, Best Fitness: 12.00
Iteration 600/1000, Best Fitness: 12.00
Iteration 610/1000, Best Fitness: 12.00
Iteration 620/1000, Best Fitness: 12.00
Iteration 630/1000, Best Fitness: 12.00
Iteration 640/1000, Best Fitness: 12.00
Iteration 650/1000, Best Fitness: 12.00
Iteration 660/1000, Best Fitness: 12.00
Iteration 670/1000, Best Fitness: 12.00
Iteration 680/1000, Best Fitness: 12.00
Iteration 690/1000, Best Fitness: 12.00
Iteration 700/1000, Best Fitness: 12.00
Iteration 710/1000, Best Fitness: 12.00
Iteration 720/1000, Best Fitness: 12.00
Iteration 730/1000, Best Fitness: 12.00
Iteration 740/1000, Best Fitness: 12.00
Iteration 750/1000, Best Fitness: 12.00
Iteration 760/1000, Best Fitness: 12.00
Iteration 770/1000, Best Fitness: 12.00
