[LOGGING ENABLED] Output is being saved to results\pso_log_20251118_003215.txt

[PSO ALGORITHM] Algorithm is currently running
Starting PSO loop for 2000 iterations...
Iteration 10/2000, Best Fitness: 11.00
Iteration 20/2000, Best Fitness: 12.00
Iteration 30/2000, Best Fitness: 12.00
Iteration 40/2000, Best Fitness: 12.00
Iteration 50/2000, Best Fitness: 12.00
Iteration 60/2000, Best Fitness: 12.00
Iteration 70/2000, Best Fitness: 12.00
Iteration 80/2000, Best Fitness: 12.00
Iteration 90/2000, Best Fitness: 12.00
Iteration 100/2000, Best Fitness: 12.00
Iteration 110/2000, Best Fitness: 12.00
Iteration 120/2000, Best Fitness: 12.00
Iteration 130/2000, Best Fitness: 12.00
Iteration 140/2000, Best Fitness: 12.00
Iteration 150/2000, Best Fitness: 12.00
Iteration 160/2000, Best Fitness: 12.00
Iteration 170/2000, Best Fitness: 12.00
Iteration 180/2000, Best Fitness: 12.00
Iteration 190/2000, Best Fitness: 12.00
Iteration 200/2000, Best Fitness: 12.00
Iteration 210/2000, Best Fitness: 12.00
Iteration 220/2000, Best Fitness: 12.00
Iteration 230/2000, Best Fitness: 12.00
Iteration 240/2000, Best Fitness: 12.00
Iteration 250/2000, Best Fitness: 12.00
Iteration 260/2000, Best Fitness: 12.00
Iteration 270/2000, Best Fitness: 12.00
Iteration 280/2000, Best Fitness: 12.00
Iteration 290/2000, Best Fitness: 12.00
Iteration 300/2000, Best Fitness: 12.00
Iteration 310/2000, Best Fitness: 12.00
Iteration 320/2000, Best Fitness: 12.00
Iteration 330/2000, Best Fitness: 12.00
